idHo,Ten_KH,Ten_TV,Mo_ta,idBo
247,Polemoniaceae,"Hoa lốc, Phước","Polemoniaceae - Họ Hoa lốcHọ Lá thang bao gồm 18-25 chi với 270-400 loài, chủ yếu là cây một năm, có nguồn gốc ở Bắc bán cầu cũng như Nam Mỹ, với trung tâm đa dạng về loài nằm ở miền tây Bắc Mỹ, đặc biệt là ở California. Chỉ có một chi (Polemonium) được tìm thấy ở châu Âu, và hai (Phlox, Polemonium) ở châu Á, tại đây chúng bị giới hạn trong khu vực ôn đới mát và cận kề Bắc cực; cả hai chi cũng có mặt và phổ biến hơn tại Bắc Mỹ, cho thấy có lẽ là do sự xâm lấn gần đây từ Bắc Mỹ sang Cựu thế giới.Các thành viên trong họ này không được phân biệt bởi bất cứ đặc trưng hình thái học cụ thể nào. Hoa của chúng có 5 lá đài, 5 cánh hoa hợp, 5 nhị hoa so le với các thùy của tràng hoa và bầu nhụy là ba lá noãn hợp.Là cỏ nhiều năm. Dạng sống rất đa dạng chủ yếu là cây thảo. Lá đơn mọc cách hay mọc đối, không lá kèm, đơn hay kép.Hoa thường hình xim, lưỡng tính, đa số đều, đơn độc hay tập hợp thành dạng đầu. Hoa mấu 5, cánh hợp ở phần dưới tạo thành dạng chuông với các thùy xếp vặn. 5 nhị đính trên ống tràng và xen kẽ với cánh hoa. Bầu trên đính trên đĩa ở gốc, 3 ô chứa 1 đến nhiều noãn thẳng. Vòi đơn với 1 đầu nhụy xẻ 3 thùy.Quả nang chẻ ô, mở ở lưng, 1 hay nhiều hạt.Phân loạiHọ này chia làm 5 tông. Ở vùng Nhiệt đới có 5 chi thuộc 3 tông: Cobaeeae, Cantueae và Bonplandieae và 13 chi ở vùng Ôn đới thuộc Polemoieae và Gilieae. Họ này có họ hàng với Hydrophyllaceae. Phân bố chủ yếu ở Bắc Mỹ  nhưng cũng gặp ở Chi Lê, Pê Ru, châu Âu và Bắc Á.Thế giới có 18 chi và 320 loài, phân bố chủ yếu ở châu Mỹ, ít có ở châu Á và châu Âu.Việt Nam có 1 chi và 1 loài.Trồng và sử dụngChủ yếu làm cảnh như chi Flox, chẳng hạn được trồng ở Việt Nam.Mặc dù có rất ít loài có giá trị kinh tế đáng kể, nhưng nhiều loài được trồng làm cây cảnh, chẳng hạn Ipomopsis aggregata (gilia đỏ) và nhiều loài trong các chi Phlox, Polemonium. Kantuta (Cantua buxifolia) là quốc hoa của Bolivia và Peru.",49
248,Polygalaceae,"Viễn chí, kích nhũ","Polygalaceae - Họ Viễn chíHọ Viễn chí là một họ thực vật có hoa thuộc bộ Đậu (Fabales). Chúng gần như phân bổ khắp thế giới, với khoảng 17-21 chi và 900-1.000 loài cây thân thảo, cây bụi và cây thân gỗ. Khoảng một phần ba tổng số loài của họ này thuộc về chi Viễn chí  (Polygala).Cây thân gỗ, cây cỏ hay cây bụi (có khi trườn), đôi khi là cỏ kí sinh trên rễ, một vài cây có mùi salixilat. Lá mỏng, mọc cách.Hoa lưỡng tính, không đều và nhìn ngoài khá giống với hoa của họ Fabaceae: lá đài 5, thường rời, trong đó 2 chiếc bên (ở trong) lớn hơn những chiếc khác và có hình dạng cánh hoa; cánh hoa thường chỉ có 3 (2 cánh trên và 1 cánh dưới ở giữa; 2 cánh bên thường thiếu), cánh dưới to hình thuyền. Hoa mọc ở đầu cành ít phân nhánh, các hoa dưới nở trước. Hoa đối xứng hai bên gần giống như hoa đậu, có màu sắc. 3 lá dài, 5 cánh hoa, cánh lớn ở phía ngoài xẻ tua. Bộ nhị gồm 8 chiếc hoặc ít hơn (đến 3), chỉ nhị thường hợp thành máng, ít nhiều dính với cánh hoa. Bao phấn mở bằng lỗ ở đỉnh hoặc bằng khe nứt ngang.Quả thường là nang dẹt, có hai cánh hai bên. Hạt thường có lông.Phân loạiHọ này chia làm 3 tông: Polygaleae, Mutabeae và Xanthophilleae. Họ gần nhất với họ này là Krameliaceae có lá kép và 5 nhị. Nó có sự giống nhau với họ Đậu, đặc biệt là hình dạng của hoa, bầu có lá noãn đơn, có lá kèm nhưng đó là do sự tiến hoá song song.Thế giới có 15 chi và 900 loài, phân bố gần như khắp thế giới.Ở Việt Nam có 5 chi và khoảng 40 loài.Trong hệ thống Cronquist cũ thì họ Polygalaceae đã được đặt trong một bộ riêng của chính nó với tên gọi Polygalales.Các chi    * Atroxima
    * Badiera
    * Balgoya
    * Barnhartia
    * Bredemeyera (bao gồm cả Hualania)
    * Carpolobia
    * Comesperma
    * Diclidanthera
    * Epirixanthes (viết khác Epirhizanthes)
    * Eriandra
    * Monnina
    * Moutabea
    * Muraltia (bao gồm cả Mundia)
    * Nylandtia
    * Phlebotaenia
    * Polygala (bao gồm cả Acanthocladus, Monrosia)
    * Salomonia
    * Securidaca
    * Xanthophyllum (bao gồm cả Eystathes)Giá trị kinh tếDùng để lấy gỗ (Xanthophyllum) hay làm thuốc (Polygala).",26
249,Polygonaceae,Rau răm,"Polygonaceae Juss. 1789Cây cỏ, mọc ven bờ nước, thường lá kèm hình ống ôm lấy phần gốc của đốt, thường màu nâu khô xác. Lá đơn, mọc cách.Cụm hoa bông tạo thành chùm hay chuỳ ở đỉnh hay nách lá. Hoa thường mẫu 3, các lá đài dạng tràng, bầu trên, 1 ô, 1 noãn đính ở gốc, vòi 2 - 3.Quả bế 3 cạnh hay hình cầu thường có bao hoa tồn tạiThế giới có 40 chi và 900 loài, phân bố toàn cầu chủ yếu ôn đới Bắc bán cầuViệt Nam có 11 chi, 45 loàiPhân loại: Nó gần với Plumbaginaceae và cả 2 có quan hệ với CaryophyllaceaeGiá trị kinh tế: Làm gia vị và rau ăn: Polygonum odoratum, Rumex spp.; làm thuốc: P. chinense, P. hydropiper; làm cảnh: Fagopyrum sp.. ",28
250,Polypodiaceae,Ráng đa túc,"Polypodiaceae Lá hình long chim, nguyên, có dạng rất khác nhau, đa số gân hình mạng. Ổ túi không áo, tròn. Kéo dài theo gân hay rải rác khắp mặt dưới lá.Đại diện- Dương xỉ thường Cyclosorus acuminatus- Ráng thư hàng rít Phymatodes scolopendria Ching.",68
251,Pontederiaceae,Lục bình (Bèo tây),"Pontederiaceae - Họ Lục bình:Cây thảo, mọc ở trên mặt nước hay ở nơi ẩm. Rễ nhiều. Lá thường có cuống nạc (đôi khi phình rộng thành phao xốp). Lá đơn hình trứng, hình tim, hình mũi tên hay hình lưỡi mác, có gân hình cung.Cụm hoa chùm với các hoa màu lam. Hoa không đều (2 môi), lưỡng tính, mẫu 3. Bao hoa 6 mảnh. Có 3 - 6 nhị trong đó có 1 nhị dài hơn. Hoa thường lồi lên thành chùm hoặc ngù. Bầu trên 3 ô.Quả nang.Thế giới có 7 chi và 40 loài, phân bố nhiều ở vùng Nhiệt đới và Cận nhiệt đới, hiếm gặp ở vùng Ôn đới.Ở Việt Nam có 2 chi và 5 - 6 loài.Phân loại: Họ này có quan hệ họ hàng với Philydraceae.Giá trị kinh tế: Cây cảnh ở nước, một số cho lá ăn hay lọc sạch nước. ",69
252,Portulacaceae,Rau sam (Sam),"Portulacaceae Juss. 1789Cây thân cỏ mọng nước, lá ít nhiều mọng nước.Hoa đều, lưỡng tính, mẫu 5, bao hoa dạng cánh tràng có màu sắc; bầu trên 1 ô với 2 hay nhiều noãn đính trên giá noãn gốc. Vòi luôn luôn chẻ. Một số tác giả coi 2 lá đài màu xanh là lá hoa còn bao hoa dạng tràng.Thế giới có 20 chi, 500 loài phân bố ở Toàn cầu, chủ yếu ôn đới Nam Phi và Nam Mỹ.Việt Nam có 2 chi, 6 loài.Phân loại: Gần với Caryophyllaceae và Bassellaceae và liên kết Azoaceae qua các chi nhiều nhị: Portulaca và Lewisia.Giá trị kinh tế: Làm rau ăn: Rau sam - Portulaca oleracea; làm thuốc: Sâm triều tiên - Thalictinum patens; làm cảnh: Hoa mười giờ - P. grandiflorra.",46
253,Potaliaceae,Lậu bình,"Potaliaceae - Họ Lậu bình:Cây bụi (thường trườn hay leo) hoặc cây gỗ nhỏ. Lá đơn, mọc đối, lá kèm thoái hóa thành bẹ hoặc tiêu giảm hẳn.Khá giống với Loganiaceae, nhưng ở đây thùy tràng luôn xếp vặn. Bầu ngồi trên triền nạc, giá noãn dầy xẻ 2 thùy sâu.Quả mọng, hạt đôi khi chìm trong cơm quả.Thế giới có 3 chi và 50 loài, phân bố ở Nam Mỹ, Nam và Đông Nam Á, châu Úc và châu Phi.Việt Nam có 1 chi và 5 loài.",11
254,Potamogetonaceae,Giang thảo (Nhãn tử),"Potamogetonaceae Dumort. 1829Họ Rong mái chèo hay họ Nhãn tử (danh pháp khoa học: Potamogetonaceae) là một họ thực vật có hoa. Họ này được nhiều nhà phân loại học công nhận.Cây thuỷ sinh chìm trong nước. Lá dạng bản hay dạng sợi. Cụm hoa dạng bông mập. Hoa mẫu 4 chỉ có lá đài không có cánh hoa, 4 - 8 nhị và 4 lá noãn rời hay hợp, noãn treo 1.  Quả thường gồm 4 hạch khô hay hạch nhỏ, phôi cong và có chân.Hệ thống APG II năm 2003 (không thay đổi so với hệ thống APG năm 1998), cũng công nhận họ này và đặt nó trong bộ Trạch tả (Alismatales) của nhánh monocots=[thực vật một lá mầm]. Họ này bao gồm cả các loài trong họ Zannichelliaceae, nhưng không bao gồm chi Ruppia hiện nay được tách ra thành họ riêng là Ruppiaceae. Trong phạm vi họ Potamogetonaceae thì sự phân hóa có thể đã bắt đầu khoảng 25 triệu năm trước (Janssen & Bremer, 2004).Các loài trong chi Potamogeton là nguồn thức ăn quan trọng cho vịt tại Bắc Mỹ. Sự thụ phấn chéo diễn ra nhờ gió hay do phấn hoa trôi nổi trên mặt nước. Có sự biến thiên lớn trong phiến lá, bao gồm cả các lưỡi bẹ (thường được gọi là các lá kèm), cũng như của hình dạng lá trong loài cũng như giữa các loài; một vài đơn vị phân loại nhỏ trong chi Potamogeton có lá dị hình, với các lá mọc ngầm và lá nổi trên mặt nước là khác nhau về hình dáng. Trong chi Potamogeton quả nổi và có khả năng quang hợp.Chi Zannichellia có lẽ chỉ có liên quan yếu trong phạm vi họ Potamogetonaceae (Les và ctv. 1997). Chi Potamogeton có thể là cận ngành hay đa ngành (Les & Haynes, 1995).Theo định nghĩa này thì họ chứa vài chi (đáng chú ý là Potamogeton) với tổng cộng khoảng 100 loài thực vật thủy sinh sống lâu năm. Các phiến lá của chúng hoặc là nổi hoặc là chìm dưới mặt nước, thân của chúng thường kết nối với nhau. Hoa là dạng bội số bốn: công thức hoa là [4;0;4;4] (lá đài; cánh hoa; nhị; lá noãn). Quả là dạng quả hạch nhỏ hay quả bế.Phân loạiPotamogenton là chi lớn nhất của thực vật Có hoa ở nước với 100 loài, thụ phấn trong không khí. Họ có vị trí trung tâm trong liên bộ Alismatideae. Nó nằm vị trí trung gian giữa các họ ở cạn Juncaginaceae và Scheuchzeriaceae và nhiều họ tiêu giảm ở nước: Ruppiaceae và Tannichelliaceae. Họ này rất có thể có họ hàng với họ cỏ biển Posidonniaceae và Zosteraceae.Thế giới có 2 chi 90 loài, phân bố ở Toàn cầu, sống trong nước.Các chiGroenlandia
Potamogeton (bao gồm cả Coleogeston, Spirillus, Stuckenia): Khoảng 60 loài rong mái chèo
Zannichellia (bao gồm cả Algoides, Althenia, Lepilaena, Pseudalthenia, Vleisia)Các chi tách raAponogeton: Sang họ Aponogetonaceae
Heterozostera: Sang họ Zosteraceae
Kernera: là một phần của chi Cymodocea trong họ Cymodoceaceae
Phucagrostis: Là một phần của chi Cymodocea trong họ Cymodoceaceae
Posidonia (bao gồm cả Caulinia): Sang họ Posidoniaceae
Ruppia (bao gồm cả Buccaferrea): Sang họ Ruppiaceae
Syringodium: Sang họ Cymodoceaceae
Thalassodendron: Sang họ Cymodoceaceae
Zostera: Sang họ ZosteraceaeGiá trị kinh tếLàm thức ăn quan trọng của động vật biển, phổ biến là Potamogeton natans.",32
255,Primulaceae,Anh thảo (Trân châu),"Primulaceae Vent. 1799Thân rễ hay thân củ. Lá đơn mọc đối hay cách, hoặc tạo thành dạng hoa thị, không lá kèm.Hoa sinh ra trên cuống không lá, đơn độc hay dạng tán, chùm hay chuỳ. Hoa đều, lưỡng tính, mẫu 5 - 4 với các cánh hoa có màu sắc; 5 - 4 nhị dính trên ống tràng và đối diện với các cánh tràng, đôi khi có 5 –4 nhị lép xen kẽ với cánh tràng; bầu trên hay bầu giữa, 1 ô, một vài hay nhiều noãn đính trên giá noãn ở trung tâm; vòi ở đỉnh phình to dạng đầu.Quả nang 5 mảnhThế giới có 30 chi, 800 loài, phân bố ở Toàn cầu chủ yếu ôn đới BắcViệt Nam có 3 chi, 20 loài.Phân loại: Primuleae, Cyclamineae, Lysimachieae, Samoleae, Corideae. Có liên quan Caryophyllaceae, nhưng tiến bộ hơn. Nó rất gần Myrsinaceae và được tách thành một bộ riêng.Giá trị kinh tế: Làm cảnh và làm thuốc.  ",2
256,Proteaceae,"Chẹo thui, Cơm vàng, Đúng, Quắn hoa","Proteaceae - Họ Chẹo thui:Cây gỗ hoặc bụi. Lá đơn, nguyên hoặc có răng nhọn hay chia thùy, mọc cách thường cục lại ở đầu cành, có lá kèm.Cụm hoa thường hình bông xuất phát từ nách lá dài khoảng 20 cm với nhiều hoa hơi hình ống dài phình 2 đầu. Hoa phần lớn lưỡng tính, đều hay hơi không đều, mẫu 4, không có cánh hoa, 1 vòng bao hoa dính tạo thành ống phình ở gốc và ở đỉnh, khi nở bao hoa cuộn ra ngoài. Đài dạng cánh hoa. Nhị 4 đối diện với các thùy bao hoa. Bầu 1 ô.Quả đại, quả hạch hay hạch khô, đôi khi quả có cánh. Quả không mở hay mở bằng khe nứt.Thế giới có 60 chi và 1400 loài, phân bố ở vùng Nhiệt đới và Cận nhiệt đới của hầu hết các châu, nhất là ở Nam Phi và châu Úc.Việt Nam có 3 chi và khoảng 15 loài.Phân loại: Có 2 phân họ: Grevilleoideae và Proteoideae, nó có quan hệ với Elaeognaceae.Giá trị kinh tế: Nhiều cây làm cảnh và cho gỗ: Grevillea robusta.",70
257,Psilotaceae,Khuyết lá thông (Lá thông),"Psilotaceae Kanzit 1887Họ Quyết lá thông (danh pháp khoa học: Psilotaceae) là một họ thực vật tương tự như dương xỉ (họ duy nhất thuộc bộ Psilotales), chỉ bao gồm 2 chi, Psilotum (quyết lá thông, lõa tùng) và Tmesipteris (quyết mai khê). Hai chi này rất khác biệt và trong quá khứ chi Tmesipteris đã từng được đặt trong họ riêng của nó là Tmesipteridaceae, nhưng phần lớn các phân loại vẫn tiếp tục coi nó thuộc về họ Psilotaceae. Các mối quan hệ của họ Psilotaceae vẫn chưa rõ ràng, một phần là do các loài cây này không có rễ hay lá thật sự, nhưng các nghiên cứu hệ thống hóa gần đây ở mức độ phân tử gợi ý chúng có quan hệ họ hàng gần với họ Ophioglossaceae.Chi thứ nhất, Psilotum, chỉ bao gồm các loài thực vật nhỏ dạng cây bụi sống tại khu vực nhiệt đới khô, nói chung gọi là quyết lá thông hay lõa tùng. Chi kia, Tmesipteris, là thực vật bì sinh sống tại Australia, New Zealand, New Caledonia. Từng có tranh luận kéo dài về các mối quan hệ của họ Psilotaceae, với một số ý kiến cho rằng chúng là một dạng dương xỉ (Pteridophyta), và các ý kiến khác cho rằng chúng là các hậu duệ của các thực vật có mạch đầu tiên (Psilophyta trong kỷ Devon). Chứng cứ gần đây từ ADN chứng minh rằng chúng có mối quan hệ gần gũi hơn với các dạng dương xỉ, cụ thể là chúng có quan hệ họ hàng gần nhất với bộ Ophioglossales.Tất cả các loài trong họ Psilotaceae đều chia sẻ một vài đặc trưng chung. Chúng là các thực vật có mạch và không có lá, thay vì thế chỉ có các chồi nhỏ, gọi là các mấu nhú. Các mấu nhú không được coi là lá thật sự do chỉ có một bó mạch ngay phía dưới chúng nhưng không ở bên trong chúng, như ở lá thật sự. Bộ Psilotales cũng không có rễ thật sự. Chúng neo vào môi trường sống bằng các rễ giả. Sự hấp thụ các chất dinh dưỡng được các loài nấm cộng sinh gọi là nấm rễ (mycorrhiza) hỗ trợ.Ba túi bào tử hợp lại thành một nang tụ hợp (synangium), được coi là một chuỗi các cành suy thoái mạnh. Có một lớp tế bào dày trong túi phấn (tapetum), là các mô dinh dưỡng để nuôi các bào tử đang phát triển, giống như ở các thực vật bào tử thật sự điển hình. Thể giao tử trông giống như một đoạn thân nhỏ mọc ngầm dưới đất, nhưng sinh ra các túi đực và túi chứa noãn.",71
258,Pteridaceae,Ráng seo gà,"Pteridaceae is a large family of ferns in the order Polypodiales.[2] Members of the family have creeping or erect rhizomes and are mostly terrestrial or epipetric (growing on rock). The leaves are almost always compound and have linear sori that are typically on the margins of the leaves and lack a true indusium, typically being protected by a false indusium formed from the reflexed margin of the leaf. The family includes four groups of genera that are sometimes recognized as separate families: the adiantoid, cheilanthoid, pteroid, and hemionitidoid ferns. Relationships among these groups remain unclear, and although some recent genetic analyses of the Pteridales suggest that neither the family Pteridaceae nor the major groups within it are all monophyletic, as yet these analyses are insufficiently comprehensive and robust to provide good support for a revision of the order at the family level",72
259,Punicaceae,Lựu,"Punicaceae Horan. 1834Cây trồng làm cảnh. Cây gỗ nhỏ. Lá đơn nguyên, mọc đối. Hoa đều, lưỡng tính, 5 - 8 lá đài và cánh tràng ; nhị nhiều ; bầu dưới. Quả có đài tồn tại ở đỉnh, màu vàng hay nâu đỏ, nhiều hạt. Hạt có áo hạt nạc ngọt, ăn được.Thế giới có 1 / 2, phân bố ở Đông Nam Âu - Himalaya, Socotra.Việt Nam có 1 loài.Phân loại: Gần Lythraceae và Sonneratiaceae.Giá trị kinh tế: Sản xuất Pomegrant, quả dùng sản xuất nước uống, quả vỏ sản xuất tanin và thuốc uống, làm cảnh (Punica granatum). ",73
260,Pyrolaceae,Lộc đề,"Pyrolaceae Dumort. 1829Gần với Ericaceae, nhất là với phân họ Rhododendroideae: Bao hoa mẫu 5-4, nhị 10-8, bao phấn mở bằng lỗ ở đỉnh, hạt phấn họp thành nhóm 4, hạt có cánh nhưng khác là cây cỏ nhiều năm, có thân rễ mọc bò, lá thường tập trung ở gốc, cánh hoa rời hay gần rời.Thế giới có 4 chi, 45 loài, phân bố chủ yếu mọc hoang ở ôn đới và hàn đớiViệt Nam có 1 chi 1 loài: Pyrola",55
261,Rafflesiaceae,Địa nhãn,"Rafflesiaceae Dumort. 1829Cỏ nạc không có diệp lục, sống ký sinh trên rễ hoặc thân các cây thân gỗ. Lá thoái hóa thành vẩyHoa rất nhỏ, đều, thường lưỡng tính, mọc đơn độc, thường không có cánh hoa, nhị nhiều (mẫu 5), hơi hợp lại thành ống hay thành cột nạc. Bao phấn xếp thành 1-3 hàng quanh cột hoặc ống. Bầu hạ hay trung (ngoài dạng rất giống với các họ Balanophoraceae và Orobanchaceae nhưng khác ở chỗ không có cụm hoa nạc hay dầy hoặc hoa lưỡng tính không đều và nhị dính trên ống tràng).Thế giới có 9 chi, 55 loài, phân bố ở cận nhiệt đới và đa số vùng ôn đới.Ở Việt Nam có 2 chi, 3 loài",26
262,Ranunculaceae,Hoàng liên,"Ranunculaceae Juss. 1789Dây leo hay cây thảo. Lá kép lông chim lẻ 1 - nhiều lần, đôi khi lá cuối cùng biến thành tua cuốn, mọc đối, có bẹ to, gân chân vịt.Hoa đều hay không đều, mẫu 5, đế hoa lồi, nhị và lá noãn nhiều xếp xoắn ốc. Quả kép gồm nhiều quả đại thường có lông dài ở đỉnh.Thế giới có 50 và 1800 chi, phân bố chủ yếu ở ôn đới và hàn đới nhưng những loài cổ sơ nhất lại tập trung ở Đông Nam Á và Bắc Mỹ.Ở Việt Nam có 10 chi và 30 loàiPhân loại: 2 phân họ, 5 tông: Helleboroideae (Helleboreae, Delphinieae), Raununculoideae (Ranunculeae, Anemoneae, Clematideae)Giá trị kinh tế: Làm thuốc: Coptis chinensis",74
263,Restionaceae,Chanh lương,"Restionaceae R.Br. 1810Cỏ nhiều năm có thân rễ, thường có lá thoái háo và biến thành bẹ.Hoa thường đơn tính khác gốc, mọc thành bông. Bao hoa gồm 3 hoặc 6 mảnh rời nhau (ít khi không có bao hoa). Nhị 3, xếp đối diện với phiến trong của bao hoa. Bao phấn 1 ô, đính lưng, bầu thượng, 1 ô, chứa 1 noãn treo. Quả nang chẻ ô (loculicide)Thế giới có 30 chi, 400 loài, phân bố ở nhiệt đới châu Á, châu Phi, châu Úc và Nam MỹViệt Nam có 1 chi, 1 loài. Restionaceae, also called restiads, is the botanical name for a family of rush-like flowering plants native to the Southern Hemisphere.DescriptionThe family consists of tufted or rhizomatous herbaceous plants, superficially rush-like in overall appearance. They belong to a group of monocotyledons that include several superficially similar families such as the sedges, rushes and true grasses.DistributionPlants in the family are primarily distributed in southern Africa and Australia, and are often dominant elements of the flora in Mediterranean climates of South Africa and Western Australia. Their presence as the dominant group in the Western Cape led to the this plant community being referred to as the Fynbos (Dutch, 'fine bush') community [1] A few species have spread into southeast Asia, and there is a single South American species.A number of the African species have become popular as garden ornamentals in many parts of the world, some being similar to bamboo in their vigorous cane-like stems and their large size. It is also a type of South African fynbos.ClassificationThe Restionaceae family has been recognized by most taxonomists. The AP-Website [May 2006] assumes 58 genera and 520 species, which agrees well with the Flora of China.The APG II system, of 2003 (unchanged from the APG system, 1998), recognizes this family and assigns it to the order Poales, in the clade commelinids of the monocots.The Cronquist system, of 1981, also recognized this family and placed it in the order Restionales, in the subclass Commelinidae in class Liliopsida in division Magnoliophyta.GeneraThere are 58 genera in the Restionaceae: Alexgeorgea, Anthochortus, Askidiosperma, Calopsis, Calorophus, Cannomois, Ceratocaryum, Chaetanthus, Chondropetalum, Coleocarya, Dielsia, Dovea, Elegia, Empodisma, Harperia, Hopkinsia, Hydrophilus, Hypodiscus, Hypolaena, Ischyrolepis, Lepidobolus, Leptocarpus, Lepyrodia, Loxocarya, Mastersiella, Meeboldina, Megalotheca, Nevillea, Onychosepalum, Phyllocomos, Platycaulos, Pseudoloxocarya, Restio, Rhodocoma, Sporadanthus, Staberoha, Thamnochortus, Willdenowia, Winifredia.",75
264,Rhamnaceae,Táo ta,"Rhamnaceae - Họ TáoHọ Táo là một họ lớn trong thực vật có hoa, chủ yếu là cây gỗ, cây bụi và một số dây leo.Họ này chứa khoảng 50-60 chi và khoảng 870-950 loài (APG II công nhận 52 chi với 925 loài[1]). Họ Rhamnaceae phân bố rộng khắp thế giới, nhưng là phổ biến hơn trong khu vực cận nhiệt đới và nhiệt đới. Chứng cứ hóa thạch của họ Rhamnaceae có từ tầng Cenomanum (Hậu Phấn trắng).Các lá đơn mọc so le hay thành vòng hoặc mọc đối. Có các lá kèm. Các lá kèm này bị biến đổi thành gai ở nhiều chi, tại một số loài (như Paliurus spina-christi và Colletia cruciata) chúng trông rất đẹp mắt. Colletia có 2 chồi nách lá thay vì 1, trong đó một sẽ phát triển thành gai còn một thành cành non.Hoa thuộc dạng đối xứng xuyên tâm. Các hoa có 5 (đôi khi 4) lá đài tách biệt và 5 (đôi khi 4 hay không có) cánh hoa riêng biệt. Cánh hoa có thể có các màu như trắng, hơi vàng, hơi lục, hồng hay lam, nói chung nhỏ và khó thấy ở phần lớn các chi, mặc dù ở một số (như Ceanothus) các cụm hoa dày dặc là dễ thấy. 5 hay 4 nhị hoa là đẳng số với cánh hoa (nghĩa là mỗi nhị đối diện với một cánh hoa). Bầu nhụy thượng, với 2 hoặc 3 noãn (hoặc không do lép).Quả chủ yếu là quả mọng, quả hạch có cùi thịt hay quả kiên. Một số thích nghi với việc vận chuyển nhờ gió, nhưng phần lớn được phát tán nhờ chim và thú. Quả táo tàu là quả của cây táo tàu (Ziziphus zizyphus) và nó là một loại cây ăn quả chính tại Trung Quốc.Chi Ceanothus tại Bắc Mỹ chứa một vài loài cây cảnh sặc sỡ, có các đốt rễ có khả năng cố định đạm.Sử dụng kinh tế của họ Rhamnaceae chủ yếu là làm cây cảnh cũng như là nguồn của nhiều loại thuốc nhuộm lục hay vàng tươi. Gỗ của các loài chi Rhamnus cũng là loại gỗ được ưa thích để làm than củi trong chế tạo thuốc súng trước khi có sự phát triển của các vật liệu nổ hiện đại.Cây thân gỗ hay bụi, thường có gai, đôi khi là dây leo thân gỗ. Lá đơn, thường có gân vòng cung hay gân lông chim, có lá kèm nhỏ.Hoa thường lưỡng tính, mẫu 5(4); có ống hoa hình chén (hypanthium). Cánh hoa thường có móng (hoặc hoa không có tràng). Nhị 4-5, đối diện với cánh hoa; có triền trong nhị. Bộ nhụy gồm 3-2(4-5) lá noãn hợp syncarp (hợp nguyên lá noãn) thành bầu thượng với số ô bằng số lá noãn; mỗi ô chứa 1(2) noãn đính gốc.Quả dạng hạch hay dạng hạch khô.Thế giới có 60 chi và 900 loài phân bố khắp thế giới nhất là ở vùng Nhiệt đới và Cận nhiệt đới.Việt Nam có 13 chi và gần 45 loài.Các chi    * Tông Ampelozizipheae
          o Ampelozizyphus    * Tông Bathiorhamneae
          o Bathiorhamnus    * Tông Colletieae
          o Adolphia
          o Colletia
          o Discaria (bao gồm cả Chacaya, Notophaena, Ochetophila)
          o Kentrothamnus
          o Retanilla
          o Trevoa    * Tông Doerpfeldieae
          o Doerpfeldia    * Tông Gouanieae
          o Alvimiantha
          o Crumenaria
          o Gouania
          o Helinus (bao gồm cả Marlothia)
          o Johnstonia ?
          o Reissekia    * Tông Maesopsideae
          o Maesopsis (bao gồm cả Karlea)    * Tông Paliurieae
          o Hovenia
          o Paliurus
          o Ziziphus (bao gồm cả Sarcomphalus) – táo ta, táo tàu    * Tông Phyliceae
          o Nesiota †
          o Noltea
          o Phylica    * Tông Pomaderreae
          o Blackallia
          o Cryptandra (bao gồm cả Stenanthemum)
          o Pomaderris
          o Siegfriedia
          o Spyridium
          o Stenanthemum ?
          o Trymalium (bao gồm cả Disaster)    * Tông Rhamneae
          o Auerodendron
          o Berchemia (bao gồm cả Araliorhamnus)
          o Berchemiella (bao gồm cả Phyllogeiton)
          o Chaydaia
          o Condalia (bao gồm cả Condaliopsis, Microrhamnus)
          o Frangula ?
          o Karwinskia
          o Krugiodendron
          o Reynosia
          o Rhamnella (bao gồm cả Dallachya)
          o Rhamnus (bao gồm cả Frangula, Oreoherzogia, Oreorhamnus) – táo đen
          o Sageretia (bao gồm cả Lamellisepalum)
          o Scutia    * Tông Ventilagineae
          o Smythea
          o Ventilago (bao gồm cả Apteron)
    * Khác
          o Alphitonia
          o Ceanothus
          o Colubrina (bao gồm cả Barcena, Cormonema, Macrorhamnus)
          o Emmenosperma
          o Hybosperma ?
          o Lasiodiscus
          o Pleuranthodes ?
          o Rhamnidium ?
          o Schistocarpaea
          o Talguenea",67
265,Rhizophoraceae,Đước,"Rhizophoraceae R. Br. 1814Cây gỗ vừa hoặc bụi, thường mọc ven biển, có nhiều rễ chống. Lá mọc đối.Cụm hoa xim với các hoa đều, mẫu 4 - 5. Các lá đài dày, nhị nhiều, bầu dưới.Quả mang các lá đài dày và thường nẩy mầm trên cây tạo thành cuống dài nhọn ở đỉnh.Thế giới có 16 chi, 120 loài, phân bố ở Vùng nhiệt đớiViệt Nam có 5 chi, 15 loài Phân loại: Họ này chia làm 3 tông: Rhizophora là chi liên nhiệt đới, Bruguiera và Ceriop ở vùng nhiệt đới châu Á - Phi, Kandelia ở vùng Đông Nam Á. Họ này gần với họ Combretaceae.Giá trị kinh tế: Cho tanin, gỗ lấy than, củi đốt, thức ăn và làm thuốc (Rhizophora, Bruguinera).",76
