idBo,Ten_KH,Ten_TV,Mo_ta
68,Polygonales,Rau răm,"Bộ Rau răm (danh pháp khoa học: Polygonales) là tên gọi của một bộ thực vật có hoa, được một số hệ thống phân loại thực vật cũ công nhận, chẳng hạn hệ thống Wettstein phiên bản sửa đổi cuối cùng năm 1935, hệ thống Engler trong lần cập nhật năm 1964 hay hệ thống Cronquist phiên bản năm 1981. Định nghĩa của bộ này thông thường bao gồm:    * Bộ Polygonales          Họ PolygonaceaeTrong các hệ thống này thì bộ Polygonales được đặt gần với bộ Cẩm chướng (Caryophyllales hay tên gọi cũ hơn của bộ này là Centrospermae). Cronquist đặt bộ Rau răm trong phân lớp Caryophyllidae của ông, bao gồm ba bộ."
69,Polypodiales,Ráng đa túc,"The order Polypodiales encompasses the major lineages of polypod ferns, which comprise more than 80% of today's fern species. They are found in many parts of the world including tropical, semitropical and temperate areas. The characteristics of this group include: sporangia with a vertical annulus interrupted by the stalk and stomium; indusia laterally or centrally attached (or lost); gametophytes green, chordate, and surficial.Polypodiales may be regarded as one of the most evolutionarily advanced orders of monilophytes (ferns), based on recent genetic analysis. They arose and diversified about 100 million years ago, probably subsequent to the diversification of the angiosperms.The 15 families of Polypodiales are listed here from those considered most basal to those considered most derive.Polypodium clade    * Dryopteridaceae
    * Elaphoglossaceae
    * Hypodematiaceae
    * Lomariopsidaceae
    * Tectariaceae
    * Oleandraceae (formerly Olandraceae)
    * Davalliaceae
    * PolypodiaceaeNow-obsolete families of Polypodiales:    * Drynariaceae - now in Polypodiaceae
    * Grammitidaceae - now in Polypodiaceae
    * Gymnogrammitidaceae - now in Polypodiaceae
    * Loxogrammaceae - now in Polypodiaceae
    * Nephrolepidaceae - now in Lomariopsidaceae
    * Platyceriaceae - now in Polypodiaceae
    * Pleursoriopsidaceae - now in Polypodiaceae
    * Vittariaceae - now in Pteridaceae"
70,Primulales,Anh thảo,"Bộ Anh thảo hay bộ Trân châu (danh pháp khoa học: Primulales) là một danh pháp để chỉ một bộ trong thực vật có hoa. Tên gọi này đã được sử dụng trong một số hệ thống phân loại thực vật với rất ít thay đổi trong định nghĩa (xem các hệ thống Bentham & Hooker, Engler và Wettstein). Trong phiên bản năm 1981 của hệ thống Cronquist người ta đặt bộ này trong phân lớp Dilleniidae với định nghĩa sau:    * Bộ Primulales          Họ Xay (Myrsinaceae)
          Họ Anh thảo (Primulaceae)
          Họ TheophrastaceaeHệ thống APG II, được sử dụng trong Wikipedia, đã đưa tất cả các loài, chi, họ trong bộ này vào bộ Thạch nam (Ericales)."
71,Proteales,Quắn hoa,"Proteales là một danh pháp thực vật của một bộ thực vật có hoa. Bộ này được gần như tất cả các nhà phân loại học công nhận. Tên gọi trong tiếng Việt của nó là Bộ Quắn hoa. Tên gọi quắn hoa chỉ mới xuất hiện trong thời gian không lâu do các loài quắn hoa mới được du nhập vào Việt Nam trong thời gian gần đây.Các họHệ thống APG II năm 2003 công nhận bộ này và đặt nó trong nhánh eudicot = Thực vật hai lá mầm thật sự, với giới hạn định nghĩa như sau:    * Bộ Proteales        * Họ Nelumbonaceae:Sen
        * Họ Proteaceae:Quắn hoa
        * [+ family Platanaceae]:Chò nước, tiêu huyềnvới ""+ ..."" = họ có thể được tách ra tùy ý từ họ trước đó.Các thành viên được biết đến nhiều nhất của bộ Proteales là các loài quắn hoa protea (chi Protea) ở Nam Phi, quắn hoa banksia (chi Banksia) và mắc ca (chi Macadamia) ở Australia, tiêu huyền (Platanus orientalis), các loài chò nước (Platanus spp.) và các loài sen trắng hay sen hồng. Nguồn gốc của các loài trong bộ này là rất cổ, với chứng cứ về sự đa dạng hóa vào giữa kỷ Phấn Trắng, khoảng trên 100 triệu năm trước. Một điều đáng chú ý là sự phân bổ của các họ hiện nay, với họ Proteaceae (quắn hoa) chủ yếu ở Nam bán cầu trong khi các họ Platanaceae (chò nước, tiêu huyền) và Nelumbonaceae (sen) ở Bắc bán cầu.Các hệ thống phân loại khácCronquistHệ thống Cronquist năm 1981 công nhận bộ này và đặt nó trong phân lớp Rosidae thuộc lớp Magnoliopsida [=thực vật hai lá mầm]. Nó sử dụng định nghĩa sau:    * Bộ Proteales        * Họ Elaeagnaceae (nhót)
        * Họ ProteaceaeDahlgren & ThorneHệ thống Dahlgren và hệ thống Thorne (1992) công nhận bộ này và đặt nó trong siêu bộ Proteanae thuộc phân lớp Magnoliidae [=thực vật hai lá mầm]. Các hệ thống này dùng định nghĩa sau:    * Bộ Proteales        * Họ ProteaceaeEnglerHệ thống Engler, trong phiên bản cập nhật năm 1964, cũng công nhận bộ này và đặt nó trong phân lớp Archychlamydeae của lớp Dicotyledoneae. Nó dùng định nghĩa sau:    * Bộ Proteales        * Họ ProteaceaeWettsteinHệ thống Wettstein, sửa đổi lần cuối năm 1935, cũng công nhận bộ này và đặt nó trong nhóm Monochlamideae thuộc phân lớp Choripetalae của lớp Dicotyledones. Nó sửt dụng định nghĩa sau:    * Bộ Proteales        * Họ Proteaceae"
72,Psilotales,Khuyết lá thông,
73,Pteridales,Ráng dực xỉ,"The Pteridales are ferns that have their sori in linear strips under the edge of the leaf tissue, usually with the edge of the lamina reflexed over.This order is considered a family under the Smith classification.[1] However, this group, a natural clade, is clearly the most basal offshoot of the entire polypodioid line, and if any portion of that clade is segregated as a separate order, this would be the obvious one. For this reason, and because this is a large and complex group, it is being considered an order for this page.Most members of this order are small, but some members of the tropical genus Acrostichum, in the Ceratopteridaceae, are immense, with fronds 3.5 meters (twelve feet) tall.One of the most well known plants in this order is the maidenhair fern Adiantum, with many forms in cultivation. Also commonly cultivated are various species of Pteris, sometimes known as ""table ferns,"" and some species of Pellaea, including the button fern.While this group has long been recognized as distinct from the rest of the polypodioid ferns, relationships within the group have long been misunderstood. A ground-breaking paper by Schuettpelz et al. has redefined this order using not only morphological data, but also extensive genetic data. The cladogram at left is based on their data. Line length in this diagram is not meaningful.Cheilanthes, Pellaea, Doryopteris, Jamesonia, Anogramma, and Pteris have all been shown to be seriously paraphyletic genera. Jamesonia and Eriosorus were found to be a highly paraphyletic mixture, although in their own clade. More surprisingly, they found that the vittarioid ferns nest within the genus Adiantum. And they have established that Acrostichum and Ceratopteris are allied within their own isolated clade.Deriving from the results of this important study, it is clear that the Pteridales should include five distinct families, although their final names are yet to be determined:    * Pellaeaceae (may also be named Sinopteridaceae or Cheilantheaceae): including most of the ferns long recognized as a natural grouping of largely xeric, petrophilic, frequently apogamous small ferns
    * Adiantaceae (sensu strictu in comparison with past usage): including both rock and terrestrial plants, variously either delicately cut or grass-like
    * Pteridaceae (sensu strictu): including most small to medium sized terrestrial plants
    * Ceratopteridaceae (replacing Parkeriaceae which is an invalid name under current rules): exclusively wetland or aquatic ferns (Acrostichum and Ceratopteris)
    * Cryptogrammaceae: largely rock plants, including Llavea, Coniogramme, and Cryptogramma"
74,Rafflesiales,Địa nhãn,"Rafflesiales is a botanical name of an order of flowering plants. The name was first published by Oliver  in 1895. The Cronquist system used this name for an order placed in subclass Rosidae  with the following circumscription (1981) :    * order Rafflesiales          family Hydnoraceae
          family Mitrastemonaceae
          family RafflesiaceaeThe APG II system regards Rafflesiaceae as an unplaced family of three genera. Also unplaced is the genus Mitrastema. However, APG II does have a placement for family Hydnoraceae, in the order Piperales."
75,Ranunculales,Mao lương,"Bộ Mao lương là một bộ thực vật có hoa. Để có bộ này ít nhất nó phải chứa họ Ranunculaceae, họ của các loài mao lương.Bộ Mao lương chiếm khoảng 1,6% sự đa dạng của thực vật hai lá mầm thật sự. Theo APG, bộ này chứa 7 họ với khoảng 200 chi và 4.400-4.500 loài. Magallön và ctv. (1999) cho rằng bộ này có niên đại khoảng 70 triệu năm trước (Ma), dựa trên các hóa thạch sớm nhất được coi là của bộ này. Tuy nhiên, nó là của thành viên trong họ Menispermaceae không cơ bản để quyết định. Anderson và ctv. (2005) xác định niên đại của nhánh phần thân cho bộ này là khoảng 122-120 Ma, sự rẽ nhánh trong nó bắt đầu vào khoảng 121-114 Ma. Tất cả các họ đã rẽ ra trước 105 Ma, ngoại trừ Ranunculaceae/Berberidaceae (khoảng 104-90 Ma). Một số báo cáo cho thấy sự hình thành quả bị làm chậm lại (tới 2 tháng sau khi thụ phấn), bao gồm Circeasteraceae, Eupteleaceae, Lardizabalaceae và Ranunculaceae (Sogo & Tobe 2006).Các mối quan hệ trong bộ này được nghiên cứu và hiểu khá rõ. Hoot và Crane (1995), Kadereit và ctv. (1995), Oxelman và Lideacuten (1995), hay Hoot và ctv. (1999), Soltis và ctv. (2003), Kim và ctv. 2004), Worberg và ctv. 2006, 2007), tất cả đều cho rằng Eupteleaceae có thể là nhóm chị em với toàn bộ các họ còn lại trong bộ, mặc dù sự hỗ trợ cho vị trí đó trong một số nghiên cứu chỉ ở mức độ trung bình. Lưu ý rằng một số nghiên cứu trước đây cho rằng Ranunculaceae là nhóm chị em với các họ khác (Soltis và ctv. 2000). APG II cũng cho phép một tùy chọn về khả năng tách ra hay nhập vào của các họ Papaveraceae (nghĩa hẹp), Fumariaceae và Pteridophyllaceae trong họ Papaveraceae (nghĩa rộng). Bộ Anh túc (Papaverales) trước đây nói chung được coi là một bộ tách rời cận kề với bộ Mao lương (Cronquist 1981; Dahlgren 1989), nhưng rõ ràng là không có vị trí để thừa nhận điều này (xem hình), đặc biệt là khi sự hỗ trợ cho giả thuyết về vị trí của Eupteleaceae như là nhóm chị em với toàn thể nhánh này càng được củng cố thêm.Cả hệ thống APG (1998) và hệ thống APG II (2003) đều công nhận bộ này và đặt nó trong nhóm các thực vật hai lá mầm thực thụ cơ bản (basal eudicots) và không quy tiếp thành các nhóm lớn hơn nữa. Các hệ thống này sử dụng định nghĩa sau:
Quan hệ phát sinh loài trong bộ Mao lương    * Bộ Ranunculales          Họ Berberidaceae: Họ Hoàng mộc
          Họ Circaeasteraceae: Họ Tinh diệp thảo              [+ Họ Kingdoniaceae ]: Độc diệp thảo          Họ Eupteleaceae: Họ Lĩnh xuân
          Họ Lardizabalaceae: Họ Mộc thông
          Họ Menispermaceae: Họ Biển bức cát, tiết dê
          Họ Papaveraceae: Họ Anh túc              [+ Họ Fumariaceae = Fumarioideae]: (Phân) họ Tử cận
              [+ Họ Pteridophyllaceae = Pteridophylloideae]          Họ Ranunculaceae: Họ Mao lươngGhi chú: ""[+ ...]"" = Các họ tách ra tùy chọn, có thể tách hoặc không tách từ họ trước đó.Theo định nghĩa này, các thành viên được biết nhiều của bộ Ranunculales bao gồm các loài mao lương, ông lão, lâu đẩu, phi yến và anh túc.Hệ thống Cronquist (1981) cũng công nhận bộ này, nhưng đặt nó trong phân lớp Magnoliidae, thuộc lớp Magnoliopsida [= thực vật hai lá mầm]. Nó sử dụng định nghĩa sau:    * Bộ Ranunculales          Họ Berberidaceae
          Họ Circaeasteraceae
          Họ Coriariaceae
          Họ Lardizabalaceae
          Họ Menispermaceae
          Họ Ranunculaceae
          Họ Sabiaceae
          Họ SargentodoxaceaeTrong hệ thống Cronquist thì các họ Papaveraceae và Fumariaceae (bao gồm cả các loài thực vật trong họ tùy chọn Pteridophyllaceae) được coi như là một bộ riêng gọi là Papaverales, được đặt trong cùng phân lớp Magnoliidae."
76,Rosales,Hoa Hồng,"Bộ Hoa hồng là một bộ thực vật có hoa, hiện tại bao gồm 9 họ (khoảng 256-261 chi và 7.400-7.725 loài) với họ điển hình là họ Hoa hồng (Rosaceae). Chín họ này là những họ được coi là có quan hệ họ hàng với nhau theo các phân tích di truyền học của Angiosperm Phylogeny Group. Việc phân tích này cũng chỉ ra rằng bộ trong hệ thống Cronquist cũ là bộ Gai  (Urticales) nằm trong bộ Rosales. Điều này làm thay đổi toàn bộ định nghĩa về bộ Hoa hồng trong hệ thống Cronquist, được liệt kê dưới đây; các họ này đã được chuyển tới các bộ khác. Các họ/bộ đã được chấp nhận (hiện nay) được đặt trong ngoặc:    * Alseuosmiaceae (bộ Asterales)
    * Anisophylleaceae (bộ Cucurbitales)
    * Brunelliaceae (bộ Oxalidales)
    * Bruniaceae (họ đặt không đúng chỗ trong phân nhóm Cúc thực thụ II (Euasterid II)).
    * Byblidaceae (bộ Lamiales)
    * Cephalotaceae (bộ Oxalidales)
    * Chrysobalanaceae (bộ Malpighiales)
    * Columelliaceae (họ đặt không đúng chỗ trong phân nhóm Cúc thực thụ II (Euasterid II)).
    * Connaraceae (bộ Oxalidales)
    * Crassulaceae (bộ Saxifragales)
    * Crossosomataceae (họ đặt không đúng chỗ trong phân nhóm Rosid)
    * Cunoniaceae (bộ Oxalidales)
    * Davidsoniaceae (họ Cunoniaceae, bộ Oxalidales)
    * Dialypetalanthaceae (họ Rubiaceae, bộ Gentianales)
    * Eucryphiaceae (họ Cunoniaceae, bộ Oxalidales)
    * Greyiaceae (họ Melianthaceae, bộ Geraniales)
    * Grossulariaceae (bộ Saxifragales)
    * Hydrangeaceae (bộ Cornales)
    * Neuradaceae (bộ Malvales)
    * Pittosporaceae (bộ Apiales)
    * Rhabdodendraceae (bộ Caryophyllales)
    * Rosaceae
    * Saxifragaceae (bộ Saxifragales)
    * Surianaceae (bộ Fabales)Phát sinh loàiNhóm thân cây của bộ Rosales có niên đại khoảng 89-88 triệu năm trước (Ma), sự rẽ nhánh của nhóm chỏm cây bắt đầu vào khoảng 76 Ma (Wikström và ctv. 2001). Bộ Rosales chứa khoảng 1,9% sự đa dạng của thực vật hai lá mầm thật sự (Magallön và ctv. 1999); các hóa thạch được biết đến từ Trung Eocen, khoảng 44 Ma. Ronse De Craene (2003) cho rằng sự mất đi các cánh hoa có thể đặc trưng cho bộ Rosales, với các ""cánh hoa"" biểu kiến chiếm vị trí của các nhị và sự tiến hóa của chúng cho phép (chẳng hạn họ Rosaceae) có thể đa dạng hóa; so sánh cấu trúc sắp xếp các mao mạch của cánh và nhị hoa có thể liên quan tới giả thiết hình thái học này, và việc nó có điều gì đó với sự đa dạng hóa hay không vẫn là vấn đề tách biệt. Trên thực tế, nếu bộ Rosales là nhóm chị-em với bộ Fabales, thì chúng lại dường như không là nhóm có sự đa dạng đáng chú ý khi xét về số lượng loài, biểu hiện ở chỗ gần 4.000 loài trong bộ Rosales là nằm trong nhóm Ulmaceae-Urticaceae, nhóm với hoa không có cánh hoa.Rễ nói chung có 2 lớp chất gỗ trong họ Rosaceae, nhưng cũng có dạng ba lớp chất gỗ v.v.; việc lấy mẫu ở những họ khác còn ít, mặc dù ít hơn ở họ Ulmaceae và các họ hàng của nó, và các rễ hai lớp chất gỗ dường như được tìm thấy trong suốt cả bộ này. Ít nhất các họ Rosaceae, Rhamnaceae, Elaeagnaceae và Ulmaceae có thể là dạng nấm rễ ngoài (Malloch và ctv. 1980; Smith & Read 1997). Các thành phần quản bào trong họ Rosaceae nói chung có đế hoa giả (phần dày lên trong các màng hốc lõm gắn với dải mịn tế bào chất nối liền các tế bào), trong khi đế hoa thật có tại họ Rosaceae và những họ khác trong bộ (Jansen và ctv. 2007). Thể hạt ống sàng thiếu cả tinh bột lẫn protein và thể vùi là hiếm ngoài bộ Rosales, mặc dù chúng xuất hiện ở một số thực vật ký sinh cũng như trong các họ Crassulaceae và Malpighiaceae (Behnke 1991).Trong quá khứ, bộ Gai (Urticales, bao gồm các họ Urticaceae, Ulmaceae, Moraceae v.v.) được coi là tách biệt với họ Hoa hồng (Rosaceae), chủ yếu là do các hoa bị suy giảm rất mạnh và thường thụ phấn nhờ gió của nhóm này, và các họ khác hiện nay đặt trong bộ Hoa hồng thì trước đây cũng được đặt ở các nơi khác. Các mối quan hệ trong phạm vi bộ này vẫn vẫn chưa được rõ ràng, mặc dù Rosaceae có thể là nhóm có quan hệ chị-em với phần còn lại của bộ (hỗ trợ mạnh trong Savolainen và ctv. 2000[2], Wang và ctv. 2009[3]), còn Ulmaceae và các họ hàng của nó (bộ Urticales cũ) cùng Rhamnaceae và các họ hàng của nó có thể tạo thành 2 nhánh khác nữa (Thulin và ctv. 1998[4]; Savolainen và ctv. 2000[5]; Richardson và ctv. 2000[6]; Sytsma và ctv. 2002[7] [vị trí của Rosaceae v.v. chưa chắc chắn], Wang và ctv. 2009[3]): xem cây phát sinh loài trong hình ở bên phải.Các họ    * Barbeyaceae: 1 chi, 1 loài (Barbeya oleoides) ở đông bắc châu Phi và bán đảo Ả Rập.
    * Cannabaceae: Họ gai dầu, khoảng 11 chi và 170 loài, phân bố rộng khắp, trừ vùng ven Bắc cực.
    * Dirachmaceae: 1 chi, 2 loài tại đảo Socotra và Somalia
    * Elaeagnaceae: họ nhót, khoảng 3 chi với 45 loài tại vùng ôn đới Bắc bán cầu và vùng nhiệt đới; đặc biệt tại Malesia và Australia.
    * Moraceae: Họ dâu tằm, khoảng 38 chi và 1.100 loài tại vùng nhiệt đới và ôn đới ấm.
    * Rhamnaceae: Họ táo, khoảng 52 chi và 925 loài, rộng khắp thế giới, đặc biệt là vùng nhiệt đới và ôn đới ấm.
    * Rosaceae: Họ hoa hồng, khoảng 90 chi và 2.520 loài, rộng khắp thế giới, đặc biệt tạiBắc bán cầu.
    * Ulmaceae: Họ du, khoảng 6 chi với 35 loài, chủ yếu tại vùng ôn đới Bắc bán cầu, đặc biệt tại châu Á, nhưng thưa thớt tại những nơi khác, ngoại trừ khu vực Australia và các đảo trên Thái Bình Dương.
    * Urticaceae: Họ tầm ma, gai, khoảng 54 chi với 2.625 loài, tại khu vực nhiệt đới là chủ yếu, mặc dù phạm vi phân bố là rộng khắp thế giới."
77,Salviniales,,"Bộ Bèo ong (trước đây gọi là Hydropteridales, nghĩa là dương xỉ nước và tách ra từ nó là bộ Marsileales) là một bộ dương xỉ trong ngành Pteridophyta. Tất cả các loài trong bộ này là thực vật thủy sinh và khác với các loài dương xỉ còn lại ở chỗ chúng là dị bào tử, nghĩa là chúng sinh ra hai kiểu bào tử khác nhau là đại bào tử và tiểu bào tử để phát triển thành hai kiểu thể giao tử khác nhau (tương ứng là thể giao tử cái và đực) và ở chỗ các thể giao tử của chúng là nội bào, nghĩa là chúng không bao giờ phát triển ngoài thành bào tử và không thể lớn hơn các bào tử đã sinh ra chúng. Với tính chất dị bào và thể giao tử nội bào thì chúng tương tự nhiều hơn với thực vật có hạt hơn là với dương xỉ.Các loài trong bộ này khác nhau đáng kể về hình dạng và nhìn bề ngoài hoàn toàn không giống như dương xỉ. Các loài trong các họ Azollaceae và Salviniaceae sống trôi nổi trên mặt nước, trong khi các loài của họ Marsileaceae lại mọc rễ để bám vào đất. Tuy nhiên, các loài sống trôi nổi có thể nhất thời sống trên nền bùn lầy trong thời kỳ ít nước và họ Marsileaceae có thể sống chìm hoặc nổi trên mặt nước, phụ thuộc vào loài và khu vực.Tồn tại một số thành viên hóa thạch đã biết của bộ Marsileales cũ, Hydropteris (incertae sedis)."
78,Santalales,"Đàn hương, Sa tăng","Bộ Đàn hương là một bộ thực vật có hoa, với sự phân bổ rộng khắp thế giới, nhưng chủ yếu tập trung tại các khu vực nhiệt đới và cận nhiệt đới.Phần lớn có các hạt không có vỏ ngoài, và đây là điểm bất thường đối với thực vật có hoa. Nhiều loài trong bộ này là các loài thực vật ký sinh hay bán ký sinh, có khả năng sản xuất ra chất bột nhờ quang hợp nhưng lại chích hút thân hay rễ của các loài thực vật khác để hấp thụ nước và các chất khoáng; một số (chẳng hạn chi Arceuthobium) là ký sinh hoàn toàn, chúng thiếu chất diệp lục (chlorophyll) và sống dựa hoàn toàn vào cây chủ để có các chất dinh dưỡng.Hệ thống APG II năm 2003 (không thay đổi từ hệ thống APG năm 1998) đưa vào bộ này các họ sau:    * Bộ Đàn hương (Santalales)        * Họ Loranthaceae: Tầm gửi, chùm gửi
        * Họ Misodendraceae
        * Họ Olacaceae: Rau nghiến, dương đào
        * Họ Opiliaceae: Sơn dữu, rau sắng
        * Họ Santalaceae: Đàn hươngAP-Website chỉ ra rằng họ Balanophoraceae nên được đưa vào trong bộ này (sau khi đã có APG II). Nó cũng chỉ ra rằng họ Olacaceae (theo nghĩa của APG II) không phải là một họ tốt và nên được chia nhỏ ra. Ngoài ra, nó cũng đưa ra nghi vấn về họ Santalaceae. Website của APG II (truy cập ngày 3 tháng 4 năm 2007) cho thấy APG đã đưa thêm hai họ nữa vào trong bộ này là:        * Họ Erythropalaceae
        * Họ SchoepfiaceaeNhư vậy tính đến thời điểm hiện tại, bộ Đàn hương có 7-8 họ với khoảng 155-172 chi và khoảng 2.254-2.304 loài (số liệu lớn hơn khi coi họ Balanophoraceae cũng thuộc bộ này).Hệ thống Cronquist (1981) đưa các họ sau vào bộ này:    * Bộ Đàn hương (Santalales)        * Họ Balanophoraceae: Hệ thống APG II năm 2003 công nhận họ này nhưng lại không xếp nó vào bộ nào. AP-Website chỉ ra rằng họ này nên được đặt trong bộ Santalales (sau khi đã có APG II).
        * Họ Dipentodontaceae với 1 chi duy nhất là Dipentodon. APG không đặt nó vào họ hay bộ nào. Tuy nhiên, AP-Website chỉ ra rằng họ này tốt nhất cùng với họ Tapisciaceae và chi Perrottetia nên đặt trong bộ Huerteales trong phân nhóm Hoa hồng thực thụ II (eurosids II).
        * Họ Eremolepidaceae: APG gộp họ Eremolepidaceae trong họ Santalaceae.
        * Họ Loranthaceae
        * Họ Medusandraceae với 1 chi duy nhất là Medusandra. APG không đặt nó vào họ hay bộ nào.
        * Họ Misodendraceae
        * Họ Olacaceae
        * Họ Opiliaceae
        * Họ Santalaceae
        * Họ Viscaceae: Hệ thống APG II năm 2003 không công nhận họ này, coi nó như là từ đồng nghĩa của Santalaceae. Tuy nhiên, như AP-Website đã chỉ ra là họ Santalaceae trong nghĩa mới lại gộp tới 7 phân nhánh khác nhau rõ rệt, cho nên hoàn toàn có thể là họ Santalaceae sẽ bị tách ra thành 7 họ mới và họ Viscaceae lại được công nhận trong APG III. "
79,Sapindales,Bồ hòn,"Bộ Bồ hòn là một bộ thực vật có hoa nằm trong phân nhóm Hoa hồng của nhánh thực vật hai lá mầm thật sự. Thuật ngữ Sapindales có nguyên từ là từ tiếng Ba Tư ""Spand"".Bộ này có các đặc điểm đáng chú ý như các hợp chất thứ cấp, tinh dầu, myricetin; có các tế bào/mô bài tiết; các thành phần của ống mạch với các lỗ châm kim đơn; gỗ hóa đá hay gỗ có chứa các hạt điôxít silic (SiO2) ở các họ chính, đặc biệt là Anacardiaceae và Burseraceae; các cuống lá để lại sẹo dễ thấy; các lá mọc vòng, lá kép lông chim lẻ, gập đôi; các chỉ nhị có khớp nối, (màng ngoài có khía), ít noãn/lá noãn.Theo APG, bộ này có 9 họ, 460 chi và khoảng 5.670 loài, chiếm khoảng 30% sự đa dạng của thực vật hai lá mầm thật sự.Trong các phân loại mới nhất người ta đưa vào đây các họ sau:    * Họ Anacardiaceae (họ đào lộn hột-tức họ điều)
    * Họ Biebersteiniaceae
    * Họ Burseraceae (họ hương trầm, trám, râm)
    * Họ Kirkiaceae
    * Họ Meliaceae (họ xoan, gụ)
    * Họ Nitrariaceae(+ Peganaceae và Tetradiclidaceae): Hai họ này có thể nhập vào hoặc tách ra tùy ý.
    * Họ Rutaceae (họ cam, chanh, cửu lý hương)
    * Họ Sapindaceae (họ bồ hòn)
    * Họ Simaroubaceae (họ thanh thất, xoan rừng, xuân)Trong hệ thống Cronquist cũ thì các họ nằm trong bộ này là:    * Anacardiaceae
    * Burseraceae
    * Meliaceae
    * Rutaceae
    * Sapindaceae
    * Simaroubaceae
    * Aceraceae: hiện nay là một phần của họ Sapindaceae.
    * Akaniaceae: hiện nay đã chuyển sang bộ Brassicales.
    * Bretschneideraceae: hiện nay là một phần của họ Akaniaceae trong bộ Brassicales
    * Cneoraceae: hiện nay là một phần của họ Rutaceae.
    * Hippocastanaceae: hiện nay là một phần của họ Sapindaceae.
    * Julianiaceae: hiện nay là một phần của họ Anacardiaceae.
    * Melianthaceae: chuyển sang bộ Geraniales.
    * Staphyleaceae: hiện nay đã chuyển sang bộ Crossosomatales
    * Zygophyllaceae: hiện nay một phần là các họ Kirkiaceae, Nitrariaceae; một phần chuyển sang bộ ZygophyllalesSự khác biệt so với hệ thống APG II là không lớn như thoạt nhìn, do các loài trong các họ Aceraceae và Hippocastanaceae vẫn nằm lại trong bộ này theo định nghĩa của APG II (cả hai đều là một bộ phận của họ Sapindaceae). Các loài hiện nay nằm trong họ Nitrariaceae thì trong hệ thống Cronquist cũng thuộc về bộ này (một phần của họ Zygophyllaceae), trong khi các loài hiện nay thuộc về họ Kirkiaceae cũng đã tồn tại trong hệ thống Cronquist như là một phần của họ Simaroubaceae"
80,Saxifragales,"Tai hùm, Thường sơn","Bộ Tai hùm là một bộ thực vật hai lá mầm. APG xếp bộ này trong nhánh thực vật hai lá mầm thật sự phần lõi (core eudicots). Cũng theo APG II năm 2003 thì bộ này bao gồm 16 họ, 112 chi và 2.470 loài như sau:    * Họ Altingiaceae (họ tô hạp, sau sau, phong, tẩm)
    * Họ Aphanopetalaceae
    * Họ Cercidiphyllaceae
    * Họ Crassulaceae (họ cảnh thiên, lá bỏng, thủy bồn v.v)
    * Họ Cynomoriaceae
    * Họ Daphniphyllaceae
    * Họ Grossulariaceae (họ lý gai)
    * Họ Haloragidaceae
    * Họ Hamamelidaceae (họ kim mai, quen gọi là họ sau sau)
    * Họ Iteaceae
    * Họ Paeoniaceae (họ mẫu đơn)
    * Họ Penthoraceae
    * Họ Peridiscaceae
    * Họ Pterostemonaceae
    * Họ Saxifragaceae (họ tai hùm)
    * Họ TetracarpaeaceaeTrong hệ thống Cronquist cũ thì các họ này được chia ra trong các bộ như Rosales, Hamamelidales và Haloragales. Tuy nhiên, chúng dường như tạo thành một nhóm đơn ngành, có quan hệ với phân nhóm hoa Hồng (rosids) và phân nhóm hoa Cúc (asterids)."
81,Schizaeales,Bòng bong,"Schizaeaceae is a family of 35 to 40 species of small ferns, chiefly tropical.Genera historically treated as belonging to this family include Anemia, Lygodium, and Mohria. However, striking differences in morphology and chromosome numbers, as well as known fossil history, indicate that these are best segregated into different families.As in Osmunda, the sporangia are borne on specialised pinnae, distinct from ordinary vegetative pinnae."
82,Selaginellales,Quyển bá,
83,Solanales,Cà,"Bộ Cà là một bộ thực vật có hoa, được bao gồm trong nhóm Cúc (asterid) của thực vật hai lá mầm. Một số văn bản cũ còn dùng tên gọi Polemoniales cho bộ này.Các họ dưới đây được tính là thuộc bộ Cà trong hệ thống phân loại mới của Angiosperm Phylogeny Group (APG):    * Họ Solanaceae (cà độc dược, cà tím, khoai tây, thuốc lá, cà chua v.v; bao gồm cả họ Nolanaceae cũ)
    * Họ Convolvulaceae (họ bìm bìm, khoai lang, rau muống, tơ hồng)
    * Họ Montiniaceae
    * Họ Sphenocleaceae
    * Họ HydroleaceaeHệ thống APG II coi bộ Cà là một phần của nhóm Cúc thực thụ I (Euasterids I).Các loài được biết đến nhiều nhất trong bộ Cà là các loài cà (độc dược, cà pháo, cà bát, cà tím v.v), khoai tây, khoai lang, cà chua, thuốc lá và dã yên thảo (thuốc lá cảnh).Trong hệ thống Cronquist, ba họ sau cùng trên đây được đặt ở các bộ khác còn bộ này thì lại có thêm các họ sau:    * Họ Duckeodendraceae (hiện nay được coi là một phần/từ đồng nghĩa của họ Solanaceae)
    * Họ Nolanaceae (hiện nay được coi là một phần/từ đồng nghĩa của họ Solanaceae)
    * Họ Cuscutaceae (hiện nay được coi là một phần/từ đồng nghĩa của họ Convolvulaceae)
    * Họ Retziaceae (hiện nay được coi là một phần/từ đồng nghĩa của họ Stilbaceae thuộc bộ Lamiales)
    * Họ Menyanthaceae (hiện nay đặt trong bộ Asterales)
    * Họ Polemoniaceae (hiện nay đặt trong bộ Ericales)
    * Họ Hydrophyllaceae (hiện nay được coi là từ đồng nghĩa của họ Boraginaceae)"
