idChi,Ten_KH,Ten_TV,Mo_ta,idHo
292,Beta,"Củ cải đỏ, Củ dền","BETA L.[Từ chữ Xentơ bett đỏ; liên hệ đến màu của rễ cây]Cỏ hằng năm hay sống dai, có thân mọc đứng hay trải ra. Lá xếp thành hình hoa thị, các lá ở gốc hơi mọng nước, các lá ở thân hình ngọn giáo, có cuống.Cụm hoa chùy, có nhánh dài nhiều hay ít; các xim đơm không cuống, mang 2 - 4 ( - 3 ) hoa nhỏ lưỡng tính. Lá bắc con rất nhỏ hay không có. Bao hoa chẻ sâu thành 5, tồn tại, hóa gỗ nhiều hay ít, bao quanh quả khi chín. Nhị 5, có chỉ nhị đính trên đĩa. Bầu hình tam giác nhiều hay ít, bán hạ, dính với gốc của bao hoa; vòi ngắn, đầu nhụy 2 - 3 ( - 5 ), ngắn.Quả hạch nhỏ bao bởi bao hoa tồn tại, rộng 4-5mm; hạt hình cầu dạng thận, vỏ mỏng; phôi hình vòng.Gồm khoảng 12 loài phân bố chủ yếu từ vùng Đông Địa Trung Hải tới Trung Á cho tới Ấn Độ",311
293,Betula,Cáng lò,"BETULA L.[Từ chữ beta, tên Xen tơ của cây bu lô]Cây gỗ, có khi là cây nhỡ, vỏ nhẵn, trắng hay nâu nâu, dễ tách thành phiến, về sau cây sù sì và nứt nẻ không đều. Lá mọc so le, đơn, có răng. Hoa đơn tính; hoa đực thành đuôi sóc hình trụ và thòng xuống. Đuôi sóc cái biến đổi thành một quả kép dạng như nón thông, có vẩy mỏng, dạng màng, tách ra khi chín để quả thoát ra; đó là những quả nhỏ có cánh dạng màng.Gồm 60 loài của Bắc bán cầu, trong vùng lạnh và ôn đới. Ở nước ta chỉ gặp 1 loài:Betula alnoides",76
294,Bhesa,"Bạc, Chùm bạc","BHESA Buch. – Ham. ex Arn.Cây gỗ. Lá mọc so le.Cụm hoa chùm đơn hay kép. Hoa nhỏ, tạp tính Bầu 2 ô. Quả nang, chứa ít hạt, có áo hạt, không có cánh.Gồm 5 loài phân bố từ Ấn Độ đến Malaixia",41
295,Bidens,,,70
296,Bidupia,Lan bì đúp,,32
297,Biermannia,,,222
298,Billbergia,,,222
299,Billolivia,Giang ly,"Chi thực vật mới này đã được các nhà khoa học của Viện SIE đặt tên tiếng Việt là Chi Giang Ly. Giang Ly là nơi đầu tiên tìm ra loài chuẩn cho Billolivia là một vùng sinh thái cảnh quan rất đặc trưng có độ cao 1700 m trên núi cao của VQG Bidoup Núi Bà, Lâm Đồng, nơi quanh năm mây mù che phủ nằm giáp ranh với tỉnh Khánh Hòa. Billolivia – là tên ghép của hai nhà thực vật học nổi tiếng trong thế kỷ 20, ngài  Brian Laurence Burtt (đã mất) và ngài Olive Hilliard là một trong những người đầu tiên đã từng đặt nghi vấn về việc định loại các mẫu vật tương tự được thu từ Việt Nam và đang lưu trữ ở một số bộ sưu tập thực vật lớn trên thế giới.",50
300,Biophytum,,,136
301,Bischofia,,,225
302,Bixa,,,128
303,Blachia,,,43
304,Blainvillea,,,128
305,Blastus,"Mua rừng, Bo","BLASTUS Lour.,[Từ chữ Hy Lạp blastos: mầm hay chồi]Cây nhỡ. Lá có cuống, một lá lớn thường đối xứng với một lá nhỏ, nguyên, không lông, có tuyến nhựa; gân chân vịt dính nhau ở đỉnh. Cụm hoa ở nách hay ở ngọn, rồi ở nách; lá bắc không có. Đài có tuyến, có 4 răng. Cánh hoa 4, nhỏ, dễ rụng. Nhị 4, giống nhau, trung đới không kéo dài, không có phần phụ; bao phấn có ô chĩa ra. Bầu dính với phần dưới của đài; 4 ô, nhiều noãn; vòi nhụy dạng sợi; đầu nhụy dạng chấm. Quả nang, mở ô, có 4 van; hạt rất nhỏ, màu nâu.Gồm 12 loài từ Atxam đến Tây Malaixia.",32
306,Blatus,,,192
307,Blechnum,,,192
308,Blepharis,,,44
309,Bletilla,,,1
310,Blighia,,,222
311,Blumea,,,276
312,Blumeopsis,,,32
313,Blyxa,,,32
314,Boea,,,152
315,Boehmeria,,,136
316,Boeica,,,320
317,Boesenbergia,,,136
318,Bolbitis,,,345
319,Bombax,Gạo,"BOMBAX L.[Từ chữ bombax, một tên gọi cây bông của người Hy Lạp; liên hệ đến những sợi lông mềm bao bọc quanh hạt]Cây gỗ lớn; thân có bạnh vè, có gai. Tán lá rậm. Lá mọc so le, có cuống, kép chẻ ngón, với 3 hay 9 lá chét. Hoa đều, lưỡng tính, đơn độc hay tập hợp thành xim ở nách hoặc ở ngọn. Đài có dạng đấu với 3 hay 5 thùy. Tràng có 5 cánh hoa thường có lông mề̀m. Nhị nhiều có bao phấn 1 ô, ít khi 2 ô. Bầu thượng với 5 ô nhiều noãn. Quả nang dai, nở thành 5 van; hạt có lớp lông len dày.Gồm 8 loài nhiệt đới của Cựu lục địa",178
320,Bonamia,,,45
321,Bonia,,,87
322,Boottia,,,244
323,Borassus,"Thốt nốt, Thốt lốt","BORASSUS L.[Từ chữ Hy Lạp borassos: tên của cây thốt nốt]Cây gỗ lớn, có thân cột trần, vươn cao. Lá tập trung ở ngọn, có kích thước lớn, với cuống dài có gai khỏe, rộng ở gốc, đính ở hai mép; phiến tròn, trải ra, xếp thành dạng quạt. Lá kép, chân vịt có các phần phân chia lõm sâu vào phiến.Hoa khác gốc. Bông mo được bao phủ một số mo. Đài và tràng các hoa đực có 3 phiến che chở cho 3 nhị. Hoa cái thành đuôi sóc, kèm theo 2, 4 hay nhiều lá bắc nhỏ và gồm 3 lá đài, 3 cánh hoa, 6 nhị bất thụ và một bầu thường có 3 ô.Quả thuộc loại quả hạch nạc to, có thớ, thường chứa 3 hạch, có khi 2 hay 4; cuống mầm có nhiều tấm dạng bột dài là những cơ quan hô hấp sơ khai.Gồm 7 loài của nhiệt đới Cựu lục địa",152
324,Borinda,,,26
325,Borreria,"Ruột gà, Rau chiên","BORRERIA G.F.W. Mey.[Để tưởng nhớ nhà thực vật học Anh  William J. Borrer (1781-1862)]Cỏ hay cây bụi thấp. Thân và nhánh thường hình vuông. Lá mọc đối; lá kèm dính với cuống lá. Cụm hoa nhỏ, đơn hay họp thành bó hình cầu ở nách lá và ở ngọn hoặc thành xim. Lá đài 2 - 4 (ít khi 5). Cánh hoa 4, xếp van; tràng hình bánh xe hay hình phễu. Nhị 4, đính ở họng tràng; chỉ nhị ngắn hay dài; bao phấn hình dải hay thuôn. Bầu có 2 ô; vòi dạng sợi, đầu nhụy 2. Quả nang cắt ngăn cho 2 phần: hạt thuôn hay hình trứng.Gồm tới 150 loài ở các vùng nóng trên trái đất;",244
326,Bothriochloa,"Cỏ cờ, Cỏ ống",BOTHRIOCHLOA Kuntze[Từ chữ Hy Lạp bothrion: lỗ nhỏ và chloa: cỏ; do mày ngoài có một hốc lõm nhỏ]Cây thảo có hình dạng thay đổi.Cụm hoa chùm thường tỏa ra hình bàn tay; các đốt của trục nhiều và cuống hoa dạng sợi có một rãnh dọc mờ. Bông chét thường nhỏ.Gồm tới 28 loài ở các vùng nóng,268
327,Bothriospermum,Hạt sùi,"BOTHRIOSPERMUM Bunge[Từ chữ bothrion: hốc nhỏ và sperma: hạt; hạt có u, hốc nhỏ]Cây thảo nhỏ hằng năm, có lông nhám. Lá đơn, mọc so le, có lông; Hoa ở nách lá hay thành bông ở ngọn, 5 lá đài hình tam giác; 5 cánh hoa hợp thành ống, miệng ống có 5 vẩy; nhị 5, 1 vòi nhụy ở gần gốc bầu. Quả khô, dạng quả bế to, đầy mụt cao.Gồm 5 loài nhiệt đới và Đông Nam Á",244
328,Botrychium,Âm địa quyết,"BOTRYCHIUM Sw.,[Từ chữ Hy Lạp botrys: chùm; liên hệ đến kiểu sắp xếp dạng chùm của các lá sinh sản]Dương xỉ nhỏ đặc trưng bởi kiểu cụm của cơ quan sinh sản. Túi bào tử sắp xếp trên 2 hàng, thành bông tạo thành một chùy phân nhánh; rễ nạc, mỗi cái mang 1 lá và chỉ một chùy.Có 23 loài phổ biến khắp thế giới",47
329,Bouea,Thanh trà,"BOUEA Meisn.Cây gỗ có lá nguyên, mọc đối, hình ngọn giáo hay thuôn, các nhánh non hơi có hình bốn cạnh.Cụm hoa thành chùy những hoa đa tính có kích thước nhỏ. Lá đài 3 - 5, xếp lợp, thường rụng sớm; cánh hoa có tiền khai gần như lợp, dày, dính với đĩa ở gốc; đĩa mật ngắn; nhị xếp xen kẽ với cánh hoa, có chỉ nhị dẹp; bầu 1 ô, không cuống, vòi ngắn, đầu nhụy hơi có 3 thùy.Quả hạch hình trứng, giống quả mận, có vỏ ngoài nạc, vỏ quả trong có thớ sợi.Có 3 loài thuộc Đông Nam châu Á",220
330,Bougainvillea,"Hoa giấy, Móc diều","BOUGAINVILLEA Comm. ex Juss.Để tưởng nhớ nhà hàng hải nổi tiếng người Pháp Louis Antoine de Bougainville (1729 - 1811)  đã đi vòng quanh thế giới (1760 - 1769), cũng là nhà thực vật học]Cây hóa gỗ thường leo hoặc có cành leo. Lá nguyên, mọc so le. Hoa cụm 3 cái ở đầu một cuống ở nách lá và ở giữa một tổng bao gồm có 3 lá bắc mọc vòng, dạng lá và có màu khác nhau (hồng, tía, tím). Hoa nhỏ, màu vàng vàng, có bao hoa dạng ống chia 5 răng, với 6 hay 7 nhị.Gồm 14 loài ở Trung và Nam Mỹ nhiệt đới",14
331,Bousigonia,,,212
332,Bowringia,"Dây bánh nem, Dây gan","BOWRINGIA Champ. ex Benth.Cây bụi leo. Lá có một lá chét, khá lớn, lá kèm nhỏ.Cụm hoa ở nách lá thành chùm ngắn. Lá bắc nhỏ, dễ rụng; lá bắc con nhỏ, tồn tại. Đài dạng đấu, mỏng, cụt, có 2 răng. Tràng hoa trắng; cánh hoa có móng ngắn; cánh cờ tròn, cánh bên hình lưỡi liềm; cánh thìa giống cánh bên hoặc lớn hơn, hơi dính nhau ở lưng. Nhị rời hoặc dính nhau nhiều hay ít; bao phấn thuôn. Bầu có cuống, nhiều noãn; vòi nhụy hình dùi, đầu nhụy ở đỉnh.Quả đậu hình thoi, có cuống, dạng màng, có khía, có vân mạng, tự mở; hạt thuôn hay gần hình cầu, màu nâu hay đỏ.Gồm có 2 loài ở Phi châu và Á châu",20
333,Brachiaria,Vĩ thảo,"BRACHIARIA (Trin.) Griseb.[Từ chữ Latin brachium: bắp tay; ý nói cụm hoa hình bắp tay]Cỏ sống hằng năm hay sống dai, có dạng thay đổi. Bông chét xếp thành bông giả dày đặc hoặc hơi thưa; mày 1 có lưng tiếp giáp với trục; mày 2 ở ngoài, mày nhỏ 1 của hoa trên thường kéo dài thành một mũi nhọn ngắn.Gồm đến 50 loài ở các vùng nóng, chủ yếu là ở châu Phi",129
334,Brachycorythis,,,244
335,Brachypeza,,,222
336,Brachystemma,Cỏ rút gân,BRACHYSTEMMA D. Don[Từ chữ Hy Lạp brachys: ngắn và stemma: vòng; liên hệ đến cánh hoa rất nhỏ],222
337,Brachytome,,,68
338,Brainea,Ráng biệt xỉ,"BRAINEA J. Sm.Dương xỉ có thân đứng, có vẩy hẹp. Lá một lần kép và có hai loại; loại lá không sinh sản rộng, các gân bên nối với nhau tạo thành ổ hai bên gân chính, loại lá sinh sản hơi hẹp hơn. Ổ túi bào tử không có áo túi, nằm ở vị trí các ổ của gân bên.Chỉ có 1 loài ở vùng Đông Á",268
339,Brandisia,Dây lai hồng,"BRANDISIA Hook.f. et  Thoms.[Để tưởng nhớ nhà thực vật Anh Dietrich Brandis ( 1824 -1907 ) nghiên cứu thực vật học ở Ấn Độ, Mianma]Cây nhỡ mọc đứng hay leo, có lớp lông hình sao, lá mọc đối hay gần đối, hình trứng tới ngọn giáo, có cuống, phủ lông, rậm ở mặt dưới, có mép nguyên hay nhăn.Cụm hoa gồm các xim ở nách lá, ngắn có 1 - 3 hoa; cuống hoa có 2 lá bắc ở giữa. Đài hình chuông, với 5 có khi 4 răng gần bằng nhau hoặc có 2 thùy. Tràng hình phễu, nở ở trên, có lông rậm hình sao ở mặt ngoài; môi trên rộng, có 2 thùy; môi dưới ngắn hơn, có 3 thùy. Nhị 4, hai nhị dài; chỉ nhị nhẵn; bao phấn hình bầu dục có ô song song, có lông. Bầu hình cầu có lông mềm; vòi nhụy dạng sợi, đầu nhụy nguyên.Quả nang hình trứng mở vách lớn 2 van; hạt nhiều, hình dải.Gồm khoảng 9 loài phân bố ở Mianma, Tây Nam Trung Quốc, Thái Lan. Ở nước ta có 3 loài, mà 1 loài được biết công dụng.",44
340,Brassaiopsis,"Than, Thông thảo giả","BRASSAIOPSIS Decne. et Planch.[Từ Brassaia, tên một chi và opsis, giống như]Cây nhỡ hay cây gỗ nhỏ. Lá to, phiến lá xẻ sâu nhiều hay ít thành hình chân vịt hay dạng lá kép chân vịt với 5,7,9 hay 11 thùy sâu. Chùy hoa thưa ở ngọn, phân nhánh  mang nhiều tán. Hoa không có đốt, lá đài 5, cánh hoa 5, nhị 5, vòi nhụy dính thành cột, bầu 2 ô. Quả tròn.Gồm 20 loài của vùng Ấn Độ - Mã Lai",284
341,Brassica,Cải,"BRASSICA L.[Từ chữ Bresic hay Brassic, tên Xentơ của cây bắp cải]Cây thảo sống 1 năm hay 2 năm hay sống dai, mọc đứng; thân có khi phình thành củ. Lá to, phiến nguyên hay xẻ thùy. Hoa mọc thành ngù hay chùm, thường có màu vàng. Quả thuộc loại cải, tự  mở.Gồm khoảng 30 loài của lục địa Á Âu và vùng Địa Trung Hải.",24
342,Bredia,,,48
343,Bretschneidera,Chuông đài,"BRETSCHNEIDERA Hemsl.[Lấy tên của Emil Bretschneider (1833 - 1901), nhà thực vật học Đức nghiên cứu thực vật ở Trung Quốc]Cây gỗ rụng lá với lá kép lông chim lẻ, không có lá kèm. Cụm hoa chùm. Đài hoa hình chuông 5 thùy; cánh hoa 5, đính trên mép ống đài; nhị 8 xếp 2 vòng; bầu chứa 2 noãn. Quả nang nở làm 3 mảnh.Có 1 loài ở Tây, Tây Nam Trung Quốc và Bắc Việt NamViệt Nam chỉ có duy nhất 1 loài Chuông đài - Bretschneidera sinensis",192
344,Breynia,"Bồ cu vẽ, Dé, Cù đề","BREYNIA Forst. et Forst.f.[Để tưởng nhớ nhà thực vật học người Đức Jacob Breyne (1837-1897)]Cây bụi. Lá mọc so le, xếp hai dãy, có cuống. Cụm hoa thành xim đơm ở nách; hoa đơn tính, không có cánh hoa. Không có đĩa mật. Hoa đực có đài dạng con quay; lá đài 6, lợp thành 2 vòng; nhị 3; chỉ nhị dính thành cột ở giữa; bao phấn dính nhau, có 2 ô, mở dọc. Hoa cái có đài hợp, hình chuông có 6 mảnh, lợp, thành 2 vòng so le. Bầu hình trứng, có khi cụt hoặc giãn ra và nạc ở đỉnh; 3 ô; vòi nhụy ngắn, rời hay dính, ở giữa hay ở bên. Quả nang, hay quả mọng, mang đài đồng trưởng nhiều hay ít; hạt có 3 cạnh.Gồm khoảng 25 loài phân bố từ Trung Quốc đến Nuven Calêđôni và Ôxtrâylia",49
345,Bridelia,Thổ mật,"BRIDELIA Willd.[Để tưởng nhớ Samuel - Elisée von Bridel (1761 - 1828), nhà thực vật học Thụy Sĩ nghiên cứu về Rêu và Thực vật có hạt].Cây gỗ hay cây nhỡ. Lá mọc so le, có gân lông chim, có lá kèm; gân nhỏ thường song song.Cụm hoa ở nách lá, thành xim đơm không cuống; hoa nhỏ cùng gốc hay khác gốc, thường không cuống, mẫu 5. Hoa đực có 5 lá đài, xếp van; 5 cánh hoa nhỏ hơn lá đài, có móng ngắn; đĩa mật phẳng hay lõm; 5 nhị đính trên một cột giữa (cuống bộ nhị) với chỉ nhị mọc vòng và bao phấn hướng trong, nhụy lép ở giữa các nhị, hình trứng. Hoa cái có 5 lá đài, xếp van, 5 cánh hoa, 2 đĩa mật và bầu 2 ô, ít khi 3 ô hay 1 ô, vòi nhụy 2, ít khi 3, thường chẻ đôi, ít khi nguyên, tạo thành 4 vòi đầu nhụy, mỗi ô có 2 noãn, ở bên.Quả hạch với 2, ít khi 3 nhân, ít khi khô và mở ít ở đỉnh; hạt đơn độc, có rãnh ở lưng.Gồm khoảng 60 loài nhiệt đới Cựu lục địa.",128
346,Briggsia,,,128
347,Bromheadia,"Lan đầm lầy, Lan dứa","BROMHEADIA Lindl.[Để tưởng nhớ nhà thực vật học lỗi lạc Edward French Bromhead, người Anh]Cây không có thân củ gần đất, không có hành giả; thân mọc đứng.Cụm hoa dày đặc ở ngọn, lưỡng phân. Hoa nở dần dần. Lá đài bên không làm thành cằm, cánh môi không gù, không có cựa, 1 nhị. Phấn khối đính trên gót hay chuôi rất ngắn.Gồm 17 loài phân bố từ Mianma đến Ôxtrâylia.",136
348,Brosimum,Nhũ mộc,"Cây gỗ. Hoa đực (những nhị rời), hoa cái và quả đính trên một đế hoa nạc.Gồm 13 loài của nhiệt đới châu Mỹ",222
349,Broussoneratia,Dướng,"BROUSSONETIA L' Hér. ex Vent.[Để tưởng nhớ thầy thuốc và nhà thực vật học người Pháp Pierre Marie Auguste Broussonet (1761-1807)]Cây khác gốc rất gần gũi với dâu (Morus). Lá dễ rụng, mọc so le, thường đa dạng. Gỗ vàng, có dịch sữa.Hoa đực thành đuôi sóc hình trụ thòng xuống; bao hoa có 4 phiến. Hoa cái thành xim đơm, sít nhau, xen lẫn với các lá bắc. Quả hình cầu, gồm một số lớn những quả hạch nhỏ màu đỏ da cam.Gồm 7 loài của Đông Á cho tới Pôlynêdi.",199
350,Broussonetia,,,199
351,Browallia,,,199
352,Brownea,Cát anh,"BROWNEA Jacq.Để tưởng nhớ nhà thực vật học người Anh Robert Brown (1793 - 1858)]Cây gỗ hay cây nhỡ không gai, thường xanh. Lá mọc so le, kép lông chim chẵn, dai; lá kèm sớm rụng có khi có màu sắc. Hoa tập hợp thành cụm hoa tán, bông hay chùm ở ngọn thân.Mỗi hoa nằm ở nách một lá bắc có màu sắc dạng như cánh hoa và có kèm theo những lá bắc bên. Đài có 4 lá đài. Tràng có 5 cánh hoa gần bằng nhau. Nhị 10 - 15 rời hoặc dính nhau không đều. Quả đậu.Gồm tới 30 loài của các vùng nhiệt đới châu Mỹ",289
353,Brownlowia,Lò bo,"BROWNLOWIA Roxb.Cây gỗ có lông hình sao hay vẩy. Lá nguyên, mọc so le, có cuống, hình khiên hay không; gân tỏa tia và dạng chân vịt, hoặc gân lông chim.Cụm hoa chùy lớn, ở ngọn hay nách lá; hoa có cuống ngắn, cỡ trung bình. Đài hợp thành chuông, có 3 - 5 thùy hình tam giác, rồi ở nửa trên, xếp van. Cánh hoa 5, thuôn, xen kẽ với lá đài. Nhị rất nhiều, thành 5 bó đính trên một cuống nhị ngắn; chỉ nhị dạng sợi, bao phấn mở trên các ô hay mở ngoài. Nhị lép 5, hình dải. Bầu không cuống, nằm giữa nhị và nhụy lép, có 5 lá noãn dính nhau; vòi nhụy dính thành một vòi dạng sợi có 5 cạnh, đầu nhụy chỉ còn là 5 chấm ít phân biệt; noãn 2 trong mỗi ô. Quả có 3 mảnh vỏ (có khi còn 1 do thui biến), rời, có 2 van, một hạt.Gồm 25 loài ở Đông Nam Á. Ở nước ta có 3 loài đều là cây cho gỗ",57
354,Brucea,"Sầu đâu cứt chuột, Khổ sâm nam","BRUCEA J.F.Mill.[Để tưởng nhớ nhà thực vật học người Anh James Bruce (1730 - 1794)]Cây gỗ hay cây bụi. Lá kép lông chim lẻ; lá chét nguyên hay hơi có răng. Cụm hoa là bông ở nách mang nhiều xim nhỏ; cuống hoa kèm lá bắc; hoa đa tính. Đài có 4 lá đài ngắn, lợp. Cánh hoa 4, dài hơn đài, lợp. Nhị 4, xen kẽ cánh hoa, tiêu giảm ở hoa cái, đính trên các thùy của đĩa; chỉ nhị rời, nhẵn; bao phấn hướng trong. Đĩa mật thường có 4 thùy. Lá noãn 4, đối diện với cánh hoa, rời, thô sơ hoặc không có trong các hoa đực; vòi nhụy rời, dày, thường cong ra ngoài và chỉ hơi dính ở gần gốc; noãn 1 trong mỗi ô, hướng lên. Quả hạch 1 - 4, hạt không có phôi nhũ.Gồm 6 loài của Cựu lục địa",311
355,Brugmansia,,,286
356,Bruguiera,Vẹt,"RUGUIERA Lam.[Để tưởng nhớ nhà thực vật học Pháp Iran Guillaume Bruguières (1737 - 1798)]Cây gỗ cao tới 40m,  có gốc hình tháp do có bạnh vè, có khi cao tới 1m. Rễ thường phát ra những rễ thở hình nêm. Lá mọc đối, nguyên, dai, có cuống, có điểm tuyến ở mặt dưới; lá kèm hình ngọn giáo, dễ rụng.Cụm hoa đơn độc thành xim 2 - 5 hoa. Hoa lưỡng tính, đều, không có lá bắc. Đài xếp van, với 8 - 14 thùy hình ngọn giáo, dạng dùi, nhọn, tồn tại, dính thành ống gắn với bầu. Cánh hoa 8 - 14, mỏng, chẻ đôi. Đĩa mật dạng đấu. Nhị 16 - 28, nhóm từng đôi; chỉ nhị mảnh; không đều, bao phấn dài. Bầu hạ, có 2 - 4 ô, mỗi ô chứa 2 noãn.Quả mọng không mở, 1 ô, 1 hạt, mang các thùy đài tồn tại. Hạt nẩy mầm trên cây, khi chín quả sẽ tách khỏi cây mẹ cùng với cây mầm.Gồm 6 loài từ Đông Phi, Đông Nam Á, vùng quần đảo Mã Lai cho tới bắc Ôxtrâylia.",289
357,Bruinsmia,,,265
358,Brunfelsia,Cà hoa xanh,"BRUNFELSIA L.[Để tưởng nhớ nhà thực vật học Đức  Otto Brunfels (1488-1534)]Cây nhỡ hay cây bụi. Lá nguyên, mọc so le. Hoa tập hợp thành đầu giả. Đài có 5 răng. Tràng thành phễu có 5 phiến chia thành 5 thùy có hai môi. Nhị 4. Quả nang dai hay nạc, chứa nhiều hạt.Gồm tới 40 loài ở các vùng nhiệt đới châu Mỹ.",299
359,Brunsvigia,Rung vĩ,"BRUNSVIGIA Heist.Cây thảo sống lâu năm có hành. Lá dày, có đầu bẹt. Cụm hoa dạng tán gồm hoa có lá bắc và bao bởi một mo có hai van. Bao hoa có màu dạng cái nhạc, chuông hay phễu, có phiến đều hay không đều; 6 nhị. Bầu có 3 ô, mang một vòi nhụy mảnh với đầu nhụy đơn hoặc chia 3 thùy. Quả nang dạng màng, trong suốt, có 3 thùy.Gồm tới 20 loài phân bố ở châu Phi.",289
360,Buchanania,"Chây, Môca, Mèn văn","BUCHANANIA Spreng.,[Lấy tên của Francis Buchanan - Hamilton (1762 - 1829), nhà thực vật học Scốtlen và nhà du khảo (Đông Ấn và Nêpan), giám đốc vườn thực vật ở Calcutta]Cây gỗ hay cây nhỡ. Lá đơn, mọc so le, phiến dai.Cụm hoa chùy kép, ở ngọn hay ở nách lá. Hoa có 5 lá đài, 5 cánh hoa xếp lợp; đĩa một dạng đấu bao quanh gốc bầu; nhị 8 - 12; lá noãn 4 - 6, rời, hoặc chỉ có 1 lá noãn sinh sản, có noãn đính ở gốc bầu.Quả dạng mắt chim nhiều hay ít, mang các vết của vòi nhụy, với vỏ quả ngoài mỏng, vỏ quả trong cứng.Có khoảng 45 loài, phân bố ở vùng nhiệt đới Châu Á tới Malaixia, Philippin, Ôxtrâylia, Irian, và các đảo Thái Bình Dương",13
361,Buchania,,,14
362,Buchnera,Cỏ bút,"BUCHNERA L.Cỏ sống hằng năm hay sống dại, bán ký sinh, có thân thẳng, đơn hay phân nhánh ít, hình trụ. Lá dạng giấy, mọc đối, có khi so le ở phía ngọn thân, hình dải tới hình trứng, với mép nguyên hoặc có răng thô.Cụm hoa thành bông ở ngọn, có 4 cạnh, với hoa xếp dày đặc, không cuống, có các lá bắc lớn bao bọc; lá bắc con 2, nhỏ. Đài dạng ống, có 5 răng đều nhau. Tràng có ống hình trụ mảnh, hơi có 2 môi, phiến chia 5 thùy, trải ra. Nhị 4, hai trội, thụt vào trong; chỉ nhị ngắn đính ở giữa ống tràng; bao phấn 1 ô, đính lưng. Bầu hình trứng, nhẵn, vòi dạng sợi, đầu nhụy hình chùy.Quả nang hình trứng hay thuôn, mở ô bằng 2 van; hạt nhiều, hình trụ hay hình thoi, có khía dọc.Gồm tới 100 loài ở các vùng nhiệt đới và cận nhiệt đới của thế giới",14
363,Buddleja,Bọ chó,"UDDLEJA L.[Lấy tên của Adam Buddle (1660 - 1715) nhà thực vật học Anh]Cây nhỡ có lá tồn tại hay sớm rụng, mọc đối, ít khi mọc so le, nguyên hay có răng. Hoa có màu sắc khác nhau xếp thành chùm hay chùy, tràng hình ống hay hình chuông, có 4 thùy.Có khoảng 100 loài của các vùng nóng, nhất là ở Đông Á châu",284
364,Bulbophyllum,"Lan lọng, Lan hành, Lan củ","BULBOPHYLLUM Thouars[Từ chữ Hy Lạp bolbos: hành và phyllon: lá; liên hệ đến sự xếp đặt của các lá nằm ở đỉnh của các hành, hoặc do lá dày và mọng nước dạng hành]Cây thảo sống dai có hành giả mang 1 hoặc 2 lá ở đỉnh. Hoa họp thành chùm ở ngọn các cán hoa dài. Lá đài hơi gần bằng nhau. Cánh hoa ngắn hơn các lá đài. Cánh môi có khớp với cột, chia 3 thùy, với các thùy bên nhỏ, và thùy giữa nguyên, cong, hẹp hay rộng. Cột đứng, thường ngắn, có 2 cánh ở đỉnh. Bao phấn có 2 ô, rất ít khi 1 ô; 4 khối phấn.Gồm tới 1200 loài ở các vùng nhiệt đới, chủ yếu ở châu Á, tập trung ở Nhật Bản, Ôxtrâylia, Niu Dilen và các đảo Thái Bình Dương; chỉ có một số ít loài phân bố ở châu Phi và châu Mỹ. Ở nước ta có 76 loài",51
365,Bulbostylis,"Cói chát, Cỏ chát","BULBOSTYLIS Kunth[Từ chữ bolbos: hành và stylos: cột, trụ; do vòi nhụy rụng để lại một chỗ phồng trên quả]Cỏ hằng năm. Thân mảnh, có lá ở gốc. Lá hẹp, có lông mềm; bẹ lá cũng như vậy. Cụm hoa hình anten dạng tán hay dày đặc, có khi tiêu giảm chỉ còn là một bông nhỏ. Bông nhỏ có nhiều vẩy, các vẩy ở dưới 1 - 2, rỗng hoặc bất thụ, các bông khác xếp hình xoắn ốc. Nhị 2, ít khi 1 - 3 không có tơ hoặc vẩy bởi bầu. Quả bế hình trứng ngược, tù có 3 góc, nhẵn hoặc hơi có rãnh; vòi nhụy cũng dài bằng quả, hình dải, nhẵn, có gốc dễ rụng, nhưng để lại một phần phồng trên quả; đầu nhụy 3.Gồm 6 loài ở châu Á.",222
366,Bumelia,,,98
367,Bupleurum,Tiểu sài hồ,"BUPLEURUM L.[Từ chữ bous: con bò và pleurón: sườn, liên hệ đến hình dạng của lá nhiều loài trong chi này]Cây thảo tới cây bụi thấp, sống hằng năm hay sống dai, mọc nằm hay đứng, có thân hay ít khi không thân, có rễ cọc, có thớ hay hóa gỗ. Lá mọc so le, có khi họp thành bó, các lá gốc có cuống, mỏng, nguyên, với gân song song. Lá ở thân không cuống có tai hay bị xuyên thủng. Cuống lá có bẹ.Cụm hoa hầu  như luôn luôn là tán kép, ít hoa, ở ngọn hay ở bên. Bao chung gồm những lá bắc dạng lá. Bao riêng gồm những lá bắc con dạng lá, ít khi có màu, có đôi khi dài hơn hoa và quả. Hoa vàng hay tía. Răng đài không rõ. Cánh hoa chẻ đôi hoặc có đỉnh cong. Vòi nhụy ngắn. Cuống vòi dẹp hay lõm. Thể quả chẻ đôi tới gốc.   Quả thuôn hay tròn, dẹp bên, nhẵn hay có u. Cạnh dạng sợi, có cánh hẹp. Lá noãn tròn. Ống dầu nhiều quanh hạt hay không rõ. Hạt có mặt nối lõm.  Gồm hơn 100 loài của Bắc bán cầu của Cựu lục địa; 1 loài ở Bắc Mỹ và 1 loài ở Nam Phi.",277
